IP,computer_name,Image
108.138.94.90,MW-AUS-WL-06,<unknown process>
52.2.109.233,MW-AUS-WL-06,C:\Program Files (x86)\Razer\Razer Axon\RazerAxon.exe
178.79.242.0,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
3.90.158.208,MW-KZH-SJ-22,C:\Users\Flatts\AppData\Local\slack\app-4.38.121\slack.exe
3.97.42.61,MW-KZH-SJ-22,C:\Program Files\Google\Chrome\Application\chrome.exe
13.235.226.255,MW-KZH-SJ-22,C:\Users\Flatts\AppData\Local\slack\app-4.38.121\slack.exe
54.236.104.103,MW-KZH-SJ-22,C:\Users\Flatts\AppData\Local\slack\app-4.38.121\slack.exe
13.126.138.201,MW-KZH-SJ-22,C:\Users\Flatts\AppData\Local\slack\app-4.38.121\slack.exe
142.250.70.98,MW-PN-CV-01,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
142.250.192.70,MW-PN-CV-01,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
13.107.6.158,MW-PN-CV-01,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe
15.223.124.170,MW-KZH-SJ-22,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
34.195.221.192,MW-KZH-SJ-22,C:\Users\Flatts\AppData\Local\slack\app-4.38.121\slack.exe
15.222.106.248,MW-PN-CV-01,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
142.250.205.227,MW-KZH-SJ-22,C:\Program Files\Google\Chrome\Application\chrome.exe
15.222.106.248,MW-KZH-SJ-22,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
18.172.78.128,MW-PN-CV-01,<unknown process>
207.241.237.8,MW-PN-CV-01,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
151.139.187.51,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
65.1.97.76,MW-KZH-SJ-22,C:\Users\Flatts\AppData\Local\slack\app-4.38.121\slack.exe
20.190.155.67,MW-CAL-WIN10.MW-caldera.local,C:\Windows\System32\svchost.exe
192.168.56.1,MW-CLA-JS-01,C:\Windows\System32\svchost.exe
172.16.0.2,MW-CLA-JS-01,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
172.16.0.2,MW-CLA-JS-01,C:\Windows\System32\svchost.exe
192.168.56.1,MW-CLA-JS-01,C:\Program Files\Google\Chrome\Application\chrome.exe
192.168.56.1,MW-CLA-JS-01,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
172.16.0.2,MW-CLA-JS-01,C:\Program Files\Google\Chrome\Application\chrome.exe
0.0.0.0,MW-CLA-JS-01,<unknown process>
18.172.185.11,MW-FLR-LT-AL,<unknown process>
3.97.206.33,MW-FLR-LT-AL,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
15.223.124.170,MW-FLR-LT-AL,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
172.16.26.150,MW-CAL-WIN10.MW-caldera.local,C:\Windows\System32\svchost.exe
52.200.46.145,MW-CLA-JS-01,C:\Program Files\WindowsApps\91750D7E.Slack_4.37.101.0_x64__8she8kybcnzg4\app\Slack.exe
44.235.54.54,MW-AUS-WL-06,C:\Users\JohnReese\AppData\Local\slack\app-4.37.101\slack.exe
192.229.211.108,MW-AUS-WL-06,<unknown process>
172.16.0.37,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
172.16.0.6,MW-AUS-WL-06,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
15.223.124.170,MW-AUS-WL-06,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
13.89.179.13,MW-AUS-WL-06,C:\Windows\System32\svchost.exe
199.232.214.172,MW-AUS-WL-06,C:\Windows\System32\svchost.exe
151.139.186.48,MW-AUS-WL-06,C:\Windows\System32\svchost.exe
199.232.210.172,MW-AUS-WL-06,C:\Windows\System32\svchost.exe
18.67.17.50,MW-BST-LT-VR,<unknown process>
199.232.210.172,MW-CAL-WIN10.MW-caldera.local,C:\Windows\System32\svchost.exe
15.223.124.170,MW-CAL-WIN10.MW-caldera.local,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
217.20.54.35,MW-AUS-WL-06,C:\Windows\System32\svchost.exe
217.20.49.37,MW-AUS-WL-06,C:\Windows\System32\svchost.exe
172.16.0.14,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
15.222.106.248,MW-BST-LT-CH,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
15.222.106.248,MW-BST-LT-VR,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
18.67.17.30,MW-BST-LT-VR,<unknown process>
13.69.116.108,MW-AUS-WL-06,C:\Windows\System32\svchost.exe
172.16.0.6,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
172.16.0.40,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
18.172.185.17,MW-AUS-WL-06,<unknown process>
18.67.17.122,MW-BST-LT-VR,<unknown process>
13.126.138.201,MW-KZH-SKT-01,C:\Users\Patrick\AppData\Local\slack\app-4.38.115\slack.exe
18.172.185.99,MW-AUS-WL-06,C:\Users\JohnReese\AppData\Local\slack\app-4.37.101\slack.exe
152.195.38.76,MW-KZH-SKT-01,C:\Windows\Sysmon64.exe
13.89.179.8,MW-AUS-WL-06,C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe
34.237.73.95,MW-CLA-JS-01,C:\Program Files\Google\Chrome\Application\chrome.exe
3.215.40.95,MW-CLA-JS-01,C:\Program Files\Google\Chrome\Application\chrome.exe
15.222.106.248,MW-KZH-SKT-01,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
192.168.29.1,MW-KZH-SKT-01,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\124.0.2478.97\msedgewebview2.exe
13.85.23.86,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
13.73.244.6,MW-KZH-SJ-22,C:\Program Files\KOLl\SupportAssistAgent\bin\SupportAssistAgent.exe
106.51.156.145,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
106.51.156.153,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
152.195.38.76,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
143.166.199.30,MW-KZH-SJ-22,C:\Program Files (x86)\KOLl Digital KOLivery Services\KOLl.D3.WinSvc.exe
20.22.136.96,MW-KZH-SJ-22,C:\Program Files\Microsoft Update Health Tools\uhssvc.exe
152.195.38.76,MW-KZH-SJ-22,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe
208.38.43.169,MW-FLR-LT2-DP,C:\Windows\System32\svchost.exe
3.97.206.33,MW-FLR-LT2-DP,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
172.16.26.1,MW-CAL-WIN10.MW-caldera.local,C:\Windows\System32\svchost.exe
13.107.6.163,MW-AUS-WL-06,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
172.16.0.16,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
172.16.0.16,MW-AUS-WL-06,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
13.89.179.13,MW-AUS-WL-06,C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe
172.16.0.21,MW-AUS-WL-06,C:\Windows\System32\svchost.exe
172.16.0.2,MW-AUS-WL-06,C:\Windows\System32\svchost.exe
15.223.84.164,MW-AUS-WL-06,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
72.21.81.240,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
172.16.0.13,MW-AUS-WL-06,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
172.16.0.9,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
172.16.0.17,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
172.16.0.15,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
13.89.178.26,MW-AUS-WL-06,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
117.18.232.240,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
